STATE|STATEFP|COUNTYFP|COUNTYNAME|PLACEFP|PLACENS|PLACENAME|TYPE|CLASSFP|FUNCSTAT
KS|20|011|Bourbon County|08475|02393424|Bronson city|INCORPORATED PLACE|C1|A
KS|20|011|Bourbon County|17900|02804482|Devon CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|011|Bourbon County|24000|00485575|Fort Scott city|INCORPORATED PLACE|C5|A
KS|20|011|Bourbon County|24925|02394835|Fulton city|INCORPORATED PLACE|C1|A
KS|20|011|Bourbon County|25900|02804484|Garland CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|011|Bourbon County|44550|02395844|Mapleton city|INCORPORATED PLACE|C1|A
KS|20|011|Bourbon County|58725|02396341|Redfield city|INCORPORATED PLACE|C1|A
KS|20|011|Bourbon County|72525|02397088|Uniontown city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|22025|02394713|Everest city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|22425|02394736|Fairview city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|29700|02394279|Hamlin city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|31675|00485591|Hiawatha city|INCORPORATED PLACE|C5|A
KS|20|013|Brown County|33200|00485595|Horton city|INCORPORATED PLACE|C5|A
KS|20|013|Brown County|36735|02583500|Kickapoo Site 1 CDP|CENSUS DESIGNATED PLACE|U2|S
KS|20|013|Brown County|36736|02583501|Kickapoo Site 2 CDP|CENSUS DESIGNATED PLACE|U2|S
KS|20|013|Brown County|36739|02583502|Kickapoo Site 5 CDP|CENSUS DESIGNATED PLACE|U2|S
KS|20|013|Brown County|36740|02583503|Kickapoo Site 6 CDP|CENSUS DESIGNATED PLACE|U2|S
KS|20|013|Brown County|36741|02583504|Kickapoo Site 7 CDP|CENSUS DESIGNATED PLACE|U2|S
KS|20|013|Brown County|36744|02583505|Kickapoo Tribal Center CDP|CENSUS DESIGNATED PLACE|U2|S
KS|20|013|Brown County|48300|02395406|Morrill city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|57350|02396265|Powhattan city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|59050|02396354|Reserve city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|60325|02396391|Robinson city|INCORPORATED PLACE|C1|A
KS|20|013|Brown County|62025|00485648|Sabetha city|INCORPORATED PLACE|C5|A
KS|20|013|Brown County|79400|02397322|Willis city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|01800|02393956|Andover city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|03300|00485543|Augusta city|INCORPORATED PLACE|C5|A
KS|20|015|Butler County|04925|02806453|Beaumont CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|015|Butler County|06175|02394143|Benton city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|10925|02393768|Cassoday city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|18400|02394553|Douglass city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|20050|02394635|Elbing city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|20075|00485567|El Dorado city|INCORPORATED PLACE|C5|A
KS|20|015|Butler County|38775|02395638|Latham city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|39450|02395679|Leon city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|57300|02396263|Potwin city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|61100|02629173|Rosalia CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|015|Butler County|61250|02396429|Rose Hill city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|71125|02397041|Towanda city|INCORPORATED PLACE|C1|A
KS|20|015|Butler County|78050|02397303|Whitewater city|INCORPORATED PLACE|C1|A
KS|20|017|Chase County|11425|02393776|Cedar Point city|INCORPORATED PLACE|C1|A
KS|20|017|Chase County|15900|02393648|Cottonwood Falls city|INCORPORATED PLACE|C1|A
KS|20|017|Chase County|20675|02394671|Elmdale city|INCORPORATED PLACE|C1|A
KS|20|017|Chase County|45150|02395043|Matfield Green city|INCORPORATED PLACE|C1|A
KS|20|017|Chase County|68650|02395989|Strong City city|INCORPORATED PLACE|C1|A
KS|20|019|Chautauqua County|11450|02393777|Cedar Vale city|INCORPORATED PLACE|C1|A
KS|20|019|Chautauqua County|12675|02393812|Chautauqua city|INCORPORATED PLACE|C1|A
KS|20|019|Chautauqua County|20125|02394644|Elgin city|INCORPORATED PLACE|C1|A
KS|20|019|Chautauqua County|50750|02395237|Niotaze city|INCORPORATED PLACE|C1|A
KS|20|019|Chautauqua County|55525|02396190|Peru city|INCORPORATED PLACE|C1|A
KS|20|019|Chautauqua County|63750|02396569|Sedan city|INCORPORATED PLACE|C1|A
KS|20|021|Cherokee County|04625|00485544|Baxter Springs city|INCORPORATED PLACE|C5|A
KS|20|021|Cherokee County|15075|00485558|Columbus city|INCORPORATED PLACE|C5|A
KS|20|021|Cherokee County|16325|02806469|Crestline CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|021|Cherokee County|25100|00485578|Galena city|INCORPORATED PLACE|C5|A
KS|20|021|Cherokee County|29550|02806493|Hallowell CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|021|Cherokee County|43050|02630053|Lowell CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|021|Cherokee County|53450|00485637|Oswego city|INCORPORATED PLACE|C5|A
KS|20|021|Cherokee County|60200|02629169|Riverton CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|021|Cherokee County|61275|02396432|Roseland city|INCORPORATED PLACE|C1|A
KS|20|021|Cherokee County|63325|00485650|Scammon city|INCORPORATED PLACE|C5|A
KS|20|021|Cherokee County|76350|00485657|Weir city|INCORPORATED PLACE|C5|A
KS|20|021|Cherokee County|77150|02397270|West Mineral city|INCORPORATED PLACE|C1|A
KS|20|023|Cheyenne County|06825|02394172|Bird City city|INCORPORATED PLACE|C1|A
KS|20|023|Cheyenne County|62175|02396488|St. Francis city|INCORPORATED PLACE|C1|A
KS|20|025|Clark County|02675|02393999|Ashland city|INCORPORATED PLACE|C1|A
KS|20|025|Clark County|21350|02394693|Englewood city|INCORPORATED PLACE|C1|A
KS|20|025|Clark County|47150|02395347|Minneola city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|13625|00485555|Clay Center city|INCORPORATED PLACE|C5|A
KS|20|027|Clay County|14200|02393563|Clifton city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|28425|02394974|Green city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|33700|02806500|Idana CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|027|Clay County|42575|02395759|Longford city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|48225|02395401|Morganville city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|51700|02395284|Oak Hill city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|73950|02397147|Vining city|INCORPORATED PLACE|C1|A
KS|20|027|Clay County|74525|02397167|Wakefield city|INCORPORATED PLACE|C1|A
KS|20|029|Cloud County|01725|02804486|Ames CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|029|Cloud County|03425|02394035|Aurora city|INCORPORATED PLACE|C1|A
KS|20|029|Cloud County|14475|02393578|Clyde city|INCORPORATED PLACE|C1|A
KS|20|029|Cloud County|15200|00485559|Concordia city|INCORPORATED PLACE|C5|A
KS|20|029|Cloud County|26375|02394908|Glasco city|INCORPORATED PLACE|C1|A
KS|20|029|Cloud County|34975|02395454|Jamestown city|INCORPORATED PLACE|C1|A
KS|20|029|Cloud County|46950|02395337|Miltonvale city|INCORPORATED PLACE|C1|A
KS|20|029|Cloud County|65650|02395891|Simpson city|INCORPORATED PLACE|C1|A
KS|20|031|Coffey County|09400|00485549|Burlington city|INCORPORATED PLACE|C5|A
KS|20|031|Coffey County|28850|02394250|Gridley city|INCORPORATED PLACE|C1|A
KS|20|031|Coffey County|39125|02395666|Lebo city|INCORPORATED PLACE|C1|A
KS|20|031|Coffey County|39650|02395685|LeRoy city|INCORPORATED PLACE|C1|A
KS|20|031|Coffey County|50450|02395215|New Strawn city|INCORPORATED PLACE|C1|A
KS|20|031|Coffey County|76050|02397228|Waverly city|INCORPORATED PLACE|C1|A
KS|20|033|Comanche County|14700|02393591|Coldwater city|INCORPORATED PLACE|C1|A
KS|20|033|Comanche County|57850|02396289|Protection city|INCORPORATED PLACE|C1|A
KS|20|033|Comanche County|79550|02397330|Wilmore city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|02300|00485541|Arkansas City city|INCORPORATED PLACE|C5|A
KS|20|035|Cowley County|03050|02394016|Atlanta city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|09250|02393466|Burden city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|10125|02393507|Cambridge city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|17925|02394531|Dexter city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|26200|02394886|Geuda Springs city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|50425|02804657|New Salem CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|035|Cowley County|54560|02396150|Parkerfield city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|60400|02804659|Rock CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|035|Cowley County|65550|02804660|Silverdale CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|035|Cowley County|71950|02397077|Udall city|INCORPORATED PLACE|C1|A
KS|20|035|Cowley County|79950|00485663|Winfield city|INCORPORATED PLACE|C5|A
KS|20|037|Crawford County|02175|02393974|Arcadia city|INCORPORATED PLACE|C1|A
KS|20|037|Crawford County|02375|02393988|Arma city|INCORPORATED PLACE|C1|A
KS|20|037|Crawford County|12825|02393818|Cherokee city|INCORPORATED PLACE|C1|A
KS|20|037|Crawford County|13100|02630052|Chicopee CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|16475|02806470|Croweburg CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|23050|02806488|Farlington CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|24325|02629157|Franklin CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|24850|00485577|Frontenac city|INCORPORATED PLACE|C5|A
KS|20|037|Crawford County|26300|00485582|Girard city|INCORPORATED PLACE|C5|A
KS|20|037|Crawford County|31375|02394357|Hepler city|INCORPORATED PLACE|C1|A
KS|20|037|Crawford County|43725|02395063|McCune city|INCORPORATED PLACE|C1|A
KS|20|037|Crawford County|49025|00485626|Mulberry city|INCORPORATED PLACE|C5|A
KS|20|037|Crawford County|52925|02806537|Opolis CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|56025|00485643|Pittsburg city|INCORPORATED PLACE|C5|A
KS|20|037|Crawford County|58325|02806547|Radley CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|59975|02806554|Ringo CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|037|Crawford County|74950|02397181|Walnut city|INCORPORATED PLACE|C1|A
KS|20|037|Crawford County|80650|02806588|Yale CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|039|Decatur County|13675|02393549|Clayton city|INCORPORATED PLACE|C1|A
KS|20|039|Decatur County|18600|02394562|Dresden city|INCORPORATED PLACE|C1|A
KS|20|039|Decatur County|35375|02395466|Jennings city|INCORPORATED PLACE|C1|A
KS|20|039|Decatur County|50925|02395246|Norcatur city|INCORPORATED PLACE|C1|A
KS|20|039|Decatur County|52000|00485632|Oberlin city|INCORPORATED PLACE|C5|A
KS|20|041|Dickinson County|00125|00485539|Abilene city|INCORPORATED PLACE|C5|A
KS|20|041|Dickinson County|10675|02393748|Carlton city|INCORPORATED PLACE|C1|A
KS|20|041|Dickinson County|12550|02393800|Chapman city|INCORPORATED PLACE|C1|A
KS|20|041|Dickinson County|17875|02583498|Detroit CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|041|Dickinson County|21425|02394695|Enterprise city|INCORPORATED PLACE|C1|A
KS|20|041|Dickinson County|31400|00485590|Herington city|INCORPORATED PLACE|C5|A
KS|20|041|Dickinson County|33075|02394416|Hope city|INCORPORATED PLACE|C1|A
KS|20|041|Dickinson County|44225|02395828|Manchester city|INCORPORATED PLACE|C1|A
KS|20|041|Dickinson County|49525|02804488|Navarre CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|041|Dickinson County|66275|02395908|Solomon city|INCORPORATED PLACE|C1|A
KS|20|041|Dickinson County|69925|02583508|Talmage CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|041|Dickinson County|80350|02397366|Woodbine city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|05975|02629153|Bendena CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|043|Doniphan County|17750|02394518|Denton city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|20950|02394681|Elwood city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|31850|02394376|Highland city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|39475|02395680|Leona city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|64025|02396577|Severance city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|71575|02397063|Troy city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|76000|02397215|Wathena city|INCORPORATED PLACE|C1|A
KS|20|043|Doniphan County|77850|02397301|White Cloud city|INCORPORATED PLACE|C1|A
KS|20|045|Douglas County|03900|02394055|Baldwin City city|INCORPORATED PLACE|C1|A
KS|20|045|Douglas County|21675|02394705|Eudora city|INCORPORATED PLACE|C1|A
KS|20|045|Douglas County|38900|00485609|Lawrence city|INCORPORATED PLACE|C5|A
KS|20|045|Douglas County|39150|02395667|Lecompton city|INCORPORATED PLACE|C1|A
KS|20|047|Edwards County|05825|02394124|Belpre city|INCORPORATED PLACE|C1|A
KS|20|047|Edwards County|37075|00485603|Kinsley city|INCORPORATED PLACE|C5|A
KS|20|047|Edwards County|39725|02395691|Lewis city|INCORPORATED PLACE|C1|A
KS|20|047|Edwards County|52200|02395304|Offerle city|INCORPORATED PLACE|C1|A
KS|20|049|Elk County|20300|02394648|Elk Falls city|INCORPORATED PLACE|C1|A
KS|20|049|Elk County|28800|02394247|Grenola city|INCORPORATED PLACE|C1|A
KS|20|049|Elk County|33250|02394429|Howard city|INCORPORATED PLACE|C1|A
KS|20|049|Elk County|42650|02395760|Longton city|INCORPORATED PLACE|C1|A
KS|20|049|Elk County|47600|02395366|Moline city|INCORPORATED PLACE|C1|A
KS|20|051|Ellis County|11025|02629155|Catharine CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|051|Ellis County|20450|00485569|Ellis city|INCORPORATED PLACE|C5|A
KS|20|051|Ellis County|31100|00485589|Hays city|INCORPORATED PLACE|C5|A
KS|20|051|Ellis County|49200|02629166|Munjor CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|051|Ellis County|63425|02396555|Schoenchen city|INCORPORATED PLACE|C1|A
KS|20|051|Ellis County|73775|02397136|Victoria city|INCORPORATED PLACE|C1|A
KS|20|053|Ellsworth County|20500|00485570|Ellsworth city|INCORPORATED PLACE|C5|A
KS|20|053|Ellsworth County|32850|02394411|Holyrood city|INCORPORATED PLACE|C1|A
KS|20|053|Ellsworth County|35950|02395490|Kanopolis city|INCORPORATED PLACE|C1|A
KS|20|053|Ellsworth County|42800|02395766|Lorraine city|INCORPORATED PLACE|C1|A
KS|20|053|Ellsworth County|79675|02397332|Wilson city|INCORPORATED PLACE|C1|A
KS|20|055|Finney County|25325|00485579|Garden City city|INCORPORATED PLACE|C5|A
KS|20|055|Finney County|32575|02394397|Holcomb city|INCORPORATED PLACE|C1|A
KS|20|055|Finney County|55775|02804658|Pierceville CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|057|Ford County|09000|02393449|Bucklin city|INCORPORATED PLACE|C1|A
KS|20|057|Ford County|18250|00485563|Dodge City city|INCORPORATED PLACE|C5|A
KS|20|057|Ford County|23725|02394785|Ford city|INCORPORATED PLACE|C1|A
KS|20|057|Ford County|23890|02629156|Fort Dodge CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|057|Ford County|67125|02395923|Spearville city|INCORPORATED PLACE|C1|A
KS|20|057|Ford County|79625|02629187|Wilroads Gardens CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|057|Ford County|80500|02629188|Wright CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|059|Franklin County|12450|02804489|Centropolis CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|059|Franklin County|38400|02395627|Lane city|INCORPORATED PLACE|C1|A
KS|20|059|Franklin County|53550|00485638|Ottawa city|INCORPORATED PLACE|C5|A
KS|20|059|Franklin County|57000|02396249|Pomona city|INCORPORATED PLACE|C1|A
KS|20|059|Franklin County|57725|02396282|Princeton city|INCORPORATED PLACE|C1|A
KS|20|059|Franklin County|58525|02396322|Rantoul city|INCORPORATED PLACE|C1|A
KS|20|059|Franklin County|59675|02396369|Richmond city|INCORPORATED PLACE|C1|A
KS|20|059|Franklin County|76625|02397253|Wellsville city|INCORPORATED PLACE|C1|A
KS|20|059|Franklin County|79300|02397319|Williamsburg city|INCORPORATED PLACE|C1|A
KS|20|061|Geary County|23975|02393004|Fort Riley CDP|CENSUS DESIGNATED PLACE|M2|S
KS|20|061|Geary County|27425|02394959|Grandview Plaza city|INCORPORATED PLACE|C1|A
KS|20|061|Geary County|35750|00485600|Junction City city|INCORPORATED PLACE|C5|A
KS|20|061|Geary County|46525|02395325|Milford city|INCORPORATED PLACE|C1|A
KS|20|063|Gove County|27125|02394937|Gove City city|INCORPORATED PLACE|C1|A
KS|20|063|Gove County|27200|02394946|Grainfield city|INCORPORATED PLACE|C1|A
KS|20|063|Gove County|28900|02394253|Grinnell city|INCORPORATED PLACE|C1|A
KS|20|063|Gove County|51825|02395293|Oakley city|INCORPORATED PLACE|C1|A
KS|20|063|Gove County|54400|02396143|Park city|INCORPORATED PLACE|C1|A
KS|20|063|Gove County|58250|02396302|Quinter city|INCORPORATED PLACE|C1|A
KS|20|065|Graham County|07825|02394214|Bogue city|INCORPORATED PLACE|C1|A
KS|20|065|Graham County|32175|02394380|Hill City city|INCORPORATED PLACE|C1|A
KS|20|065|Graham County|48275|02395402|Morland city|INCORPORATED PLACE|C1|A
KS|20|065|Graham County|50550|02806534|Nicodemus CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|067|Grant County|71975|02397081|Ulysses city|INCORPORATED PLACE|C1|A
KS|20|069|Gray County|13275|02393524|Cimarron city|INCORPORATED PLACE|C1|A
KS|20|069|Gray County|15475|02393631|Copeland city|INCORPORATED PLACE|C1|A
KS|20|069|Gray County|21400|02394694|Ensign city|INCORPORATED PLACE|C1|A
KS|20|069|Gray County|34225|02395426|Ingalls city|INCORPORATED PLACE|C1|A
KS|20|069|Gray County|47875|02395379|Montezuma city|INCORPORATED PLACE|C1|A
KS|20|071|Greeley County|28412|02664358|Greeley County unified government (balance)|INCORPORATED PLACE|C8|F
KS|20|071|Greeley County|33150|02394420|Horace city|INCORPORATED PLACE|C1|A
KS|20|071|Greeley County|71450|02397052|Tribune city|INCORPORATED PLACE|C9|N
KS|20|073|Greenwood County|14275|02393566|Climax city|INCORPORATED PLACE|C1|A
KS|20|073|Greenwood County|21800|00485572|Eureka city|INCORPORATED PLACE|C5|A
KS|20|073|Greenwood County|22775|02394739|Fall River city|INCORPORATED PLACE|C1|A
KS|20|073|Greenwood County|29675|02394278|Hamilton city|INCORPORATED PLACE|C1|A
KS|20|073|Greenwood County|44050|02395809|Madison city|INCORPORATED PLACE|C1|A
KS|20|073|Greenwood County|49550|02804491|Neal CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|073|Greenwood County|55750|02804490|Piedmont CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|073|Greenwood County|64050|02396578|Severy city|INCORPORATED PLACE|C1|A
KS|20|073|Greenwood County|74075|02397151|Virgil city|INCORPORATED PLACE|C1|A
KS|20|075|Hamilton County|15400|02393627|Coolidge city|INCORPORATED PLACE|C1|A
KS|20|075|Hamilton County|69850|02396023|Syracuse city|INCORPORATED PLACE|C1|A
KS|20|077|Harper County|01975|00485540|Anthony city|INCORPORATED PLACE|C5|A
KS|20|077|Harper County|03100|02394019|Attica city|INCORPORATED PLACE|C1|A
KS|20|077|Harper County|07775|02394208|Bluff City city|INCORPORATED PLACE|C1|A
KS|20|077|Harper County|17000|02393717|Danville city|INCORPORATED PLACE|C1|A
KS|20|077|Harper County|30175|00485587|Harper city|INCORPORATED PLACE|C5|A
KS|20|077|Harper County|74625|02397172|Waldron city|INCORPORATED PLACE|C1|A
KS|20|079|Harvey County|09575|02393474|Burrton city|INCORPORATED PLACE|C1|A
KS|20|079|Harvey County|29600|00485586|Halstead city|INCORPORATED PLACE|C5|A
KS|20|079|Harvey County|31600|02394366|Hesston city|INCORPORATED PLACE|C1|A
KS|20|079|Harvey County|50475|00485629|Newton city|INCORPORATED PLACE|C5|A
KS|20|079|Harvey County|51225|02395258|North Newton city|INCORPORATED PLACE|C1|A
KS|20|079|Harvey County|63800|02396570|Sedgwick city|INCORPORATED PLACE|C1|A
KS|20|079|Harvey County|75200|02397186|Walton city|INCORPORATED PLACE|C1|A
KS|20|081|Haskell County|63150|02396540|Satanta city|INCORPORATED PLACE|C1|A
KS|20|081|Haskell County|68775|02395994|Sublette city|INCORPORATED PLACE|C1|A
KS|20|083|Hodgeman County|29925|02394292|Hanston city|INCORPORATED PLACE|C1|A
KS|20|083|Hodgeman County|35450|02395469|Jetmore city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|13375|02393528|Circleville city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|17525|02394502|Delia city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|17625|02394515|Denison city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|32825|00485594|Holton city|INCORPORATED PLACE|C5|A
KS|20|085|Jackson County|33375|02394433|Hoyt city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|45250|02395050|Mayetta city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|49950|02395177|Netawaka city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|66175|02395907|Soldier city|INCORPORATED PLACE|C1|A
KS|20|085|Jackson County|78100|02397306|Whiting city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|28200|02629158|Grantville CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|087|Jefferson County|43900|02395075|McLouth city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|45950|02395102|Meriden city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|51525|02395272|Nortonville city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|53375|02396095|Oskaloosa city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|53925|02396122|Ozawkie city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|55450|02396185|Perry city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|73300|02397112|Valley Falls city|INCORPORATED PLACE|C1|A
KS|20|087|Jefferson County|79375|02806584|Williamstown CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|087|Jefferson County|79800|02397338|Winchester city|INCORPORATED PLACE|C1|A
KS|20|089|Jewell County|09525|02393473|Burr Oak city|INCORPORATED PLACE|C1|A
KS|20|089|Jewell County|21600|02394700|Esbon city|INCORPORATED PLACE|C1|A
KS|20|089|Jewell County|23825|02394792|Formoso city|INCORPORATED PLACE|C1|A
KS|20|089|Jewell County|34350|02806503|Ionia CDP|CENSUS DESIGNATED PLACE|U1|S
KS|20|089|Jewell County|35475|02395470|Jewell city|INCORPORATED PLACE|C1|A
KS|20|089|Jewell County|44300|02395832|Mankato city|INCORPORATED PLACE|C1|A
